
各层处理时间统计(ms):
层 14: 115.42ms (, 中间层: 60.40ms, 最终层: 55.01ms, %)
层 15: 124.60ms (, 中间层: 66.59ms, 最终层: 58.01ms, %)
层 16: 167.01ms (, 中间层: 100.97ms, 最终层: 66.04ms, %)
层 17: 115.66ms (, 中间层: 68.63ms, 最终层: 47.03ms, %)
层 18: 122.96ms (, 中间层: 66.89ms, 最终层: 56.07ms, %)
层 19: 131.62ms (, 中间层: 68.91ms, 最终层: 62.71ms, %)
层 20: 148.02ms (, 中间层: 84.41ms, 最终层: 63.60ms, %)
层 21: 188.69ms (, 中间层: 125.13ms, 最终层: 63.56ms, %)
层 22: 111.00ms (, 中间层: 62.03ms, 最终层: 48.97ms, %)
层 23: 121.51ms (, 中间层: 65.78ms, 最终层: 55.73ms, %)
层 24: 126.98ms (, 中间层: 68.89ms, 最终层: 58.08ms, %)
层 25: 129.85ms (, 中间层: 73.89ms, 最终层: 55.96ms, %)
层 26: 114.31ms (, 中间层: 55.70ms, 最终层: 58.61ms, %)

各层处理时间统计(ms):
层 1: 115.52ms (, 中间层: 54.41ms, 最终层: 61.10ms, %)
层 2: 124.82ms (, 中间层: 73.80ms, 最终层: 51.02ms, %)
层 3: 138.04ms (, 中间层: 82.76ms, 最终层: 55.28ms, %)
层 4: 132.58ms (, 中间层: 71.83ms, 最终层: 60.74ms, %)
层 5: 126.55ms (, 中间层: 68.35ms, 最终层: 58.20ms, %)
层 6: 155.40ms (, 中间层: 93.94ms, 最终层: 61.46ms, %)
层 7: 140.91ms (, 中间层: 67.30ms, 最终层: 73.61ms, %)
层 8: 136.52ms (, 中间层: 55.35ms, 最终层: 81.17ms, %)
层 9: 102.40ms (, 中间层: 30.75ms, 最终层: 71.64ms, %)
层 10: 104.56ms (, 中间层: 31.67ms, 最终层: 72.89ms, %)
层 11: 96.43ms (, 中间层: 34.21ms, 最终层: 62.22ms, %)
层 12: 145.79ms (, 中间层: 75.48ms, 最终层: 70.31ms, %)
层 13: 154.18ms (, 中间层: 78.50ms, 最终层: 75.68ms, %)
层 14: 126.54ms (, 中间层: 61.78ms, 最终层: 64.76ms, %)
层 15: 135.68ms (, 中间层: 71.52ms, 最终层: 64.15ms, %)
层 16: 119.01ms (, 中间层: 68.52ms, 最终层: 50.49ms, %)
层 17: 116.82ms (, 中间层: 68.84ms, 最终层: 47.98ms, %)
层 18: 115.48ms (, 中间层: 65.98ms, 最终层: 49.50ms, %)
层 19: 139.09ms (, 中间层: 68.16ms, 最终层: 70.92ms, %)
层 20: 146.70ms (, 中间层: 86.77ms, 最终层: 59.93ms, %)
层 21: 144.03ms (, 中间层: 74.15ms, 最终层: 69.88ms, %)
层 22: 124.80ms (, 中间层: 71.94ms, 最终层: 52.86ms, %)
层 23: 136.62ms (, 中间层: 78.45ms, 最终层: 58.17ms, %)
层 24: 135.27ms (, 中间层: 76.27ms, 最终层: 59.00ms, %)
